Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:53:41.420,14557,64,-37,7518
2024-01-03 23:53:41.446,14557,64,-37,7518
2024-01-03 23:53:41.473,14557,64,-37,7518
2024-01-03 23:53:41.504,14557,64,-37,7518
2024-01-03 23:53:41.556,14557,64,-37,7518
2024-01-03 23:53:41.583,14557,64,-37,7518
2024-01-03 23:53:41.599,14557,64,-37,7518
2024-01-03 23:53:41.608,14557,64,-37,7518
2024-01-03 23:53:41.645,14557,64,-37,7518
2024-01-03 23:53:41.673,14557,64,-37,7518
2024-01-03 23:53:41.695,14557,64,-37,7518
2024-01-03 23:53:41.720,14557,64,-37,7518
2024-01-03 23:53:41.746,14557,64,-37,7518
2024-01-03 23:53:41.772,14557,64,-37,7518
2024-01-03 23:53:41.807,14557,64,-37,7518
2024-01-03 23:53:41.851,14557,64,-37,7518
2024-01-03 23:53:41.857,14557,64,-37,7518
2024-01-03 23:53:41.880,14557,64,-37,7518
2024-01-03 23:53:41.910,14557,64,-37,7518
2024-01-03 23:53:41.939,14557,64,-37,7518
2024-01-03 23:53:41.972,14557,64,-37,7518
2024-01-03 23:53:41.993,14557,64,-37,7518
2024-01-03 23:53:42.018,14557,64,-37,7518
2024-01-03 23:53:42.046,14557,64,-37,7518
2024-01-03 23:53:42.074,14557,64,-37,7518
2024-01-03 23:53:42.114,14557,64,-37,7518
2024-01-03 23:53:42.132,14557,64,-37,7518
2024-01-03 23:53:42.187,14557,64,-37,7518
2024-01-03 23:53:42.191,14557,64,-37,7518
2024-01-03 23:53:42.218,14557,64,-37,7518
2024-01-03 23:53:42.253,14557,64,-37,7518
2024-01-03 23:53:42.319,14557,64,-37,7518
2024-01-03 23:53:42.324,14557,64,-37,7518
2024-01-03 23:53:42.329,14557,64,-37,7518
2024-01-03 23:53:42.352,14557,64,-37,7518
2024-01-03 23:53:42.380,14557,64,-37,7518
2024-01-03 23:53:42.408,14557,64,-37,7518
2024-01-03 23:53:42.433,14557,64,-37,7518
2024-01-03 23:53:42.471,14557,64,-37,7518
2024-01-03 23:53:42.488,14557,64,-37,7518
2024-01-03 23:53:42.518,14557,64,-37,7518
2024-01-03 23:53:42.544,14557,64,-37,7518
2024-01-03 23:53:42.575,14557,64,-37,7518
2024-01-03 23:53:42.610,14557,64,-37,7518
2024-01-03 23:53:42.628,14557,64,-37,7518
2024-01-03 23:53:42.682,14557,64,-37,7518
2024-01-03 23:53:42.687,14557,64,-37,7518
2024-01-03 23:53:42.711,14557,64,-37,7518
2024-01-03 23:53:42.738,14557,64,-37,7518
2024-01-03 23:53:42.767,14557,64,-37,7518
2024-01-03 23:53:42.794,14557,64,-37,7518
2024-01-03 23:53:42.836,14557,64,-37,7518
2024-01-03 23:53:42.846,14557,64,-37,7518
2024-01-03 23:53:42.887,14557,64,-37,7518
2024-01-03 23:53:42.913,14557,64,-37,7518
2024-01-03 23:53:42.928,14557,64,-37,7518
2024-01-03 23:53:42.962,14557,64,-37,7518
2024-01-03 23:53:42.994,14557,64,-37,7518
2024-01-03 23:53:43.015,14557,64,-37,7518
2024-01-03 23:53:43.043,14557,64,-37,7518
2024-01-03 23:53:43.071,14557,64,-37,7518
2024-01-03 23:53:43.097,14557,64,-37,7518
2024-01-03 23:53:43.156,14557,64,-37,7518
2024-01-03 23:53:43.161,14557,64,-37,7518
2024-01-03 23:53:43.179,14557,64,-37,7518
2024-01-03 23:53:43.229,14557,64,-37,7518
2024-01-03 23:53:43.234,14557,64,-37,7518
2024-01-03 23:53:43.260,14557,64,-37,7518
2024-01-03 23:53:43.288,14557,64,-37,7518
2024-01-03 23:53:43.332,14557,64,-37,7518
