Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:59:10.240,-0.789999,-0.552143,61.00762,-0.07,1.34,9.72,8.375,1.062,-33.688,5.062,9.25,-32.188
2024-01-03 23:59:10.360,-0.817553,-0.431779,62.161467,-0.09,0.17,9.59,-4.062,0.5,-189.438,4.688,8.875,-31.75
2024-01-03 23:59:10.374,-0.807132,-0.482804,59.220143,-0.14,0.19,9.61,-2.875,-0.125,-113.0,5.062,8.5,-33.0
2024-01-03 23:59:10.426,-0.392622,-0.69764,72.458902,0.36,-1.68,9.49,0.938,-0.438,-44.438,3.188,11.062,-31.0
2024-01-03 23:59:10.441,-0.303061,-0.79672,72.139644,0.46,-0.24,9.83,-2.875,-0.75,0.062,3.188,11.062,-31.0
2024-01-03 23:59:10.502,-0.607802,-0.783166,80.700514,0.09,1.1,9.81,-5.75,-0.938,0.25,1.75,12.875,-30.188
2024-01-03 23:59:10.542,-0.505432,-0.777003,73.824325,0.11,-0.24,9.55,1.875,0.938,-0.062,3.188,12.188,-31.75
2024-01-03 23:59:10.558,-0.542883,-0.684389,76.299929,-0.18,0.21,9.59,-1.125,-0.188,-11.5,2.75,12.5,-31.0
2024-01-03 23:59:10.634,-0.662433,-0.772971,75.664902,0.23,-0.66,9.43,-0.25,0.062,0.0,2.75,12.062,-31.75
2024-01-03 23:59:10.697,-0.908012,-0.740118,76.378935,0.31,1.36,9.87,-3.438,-0.688,-5.688,2.75,12.5,-31.0
2024-01-03 23:59:10.710,-0.602229,-0.77344,73.429953,0.13,-0.09,9.52,0.188,-0.125,0.0,3.25,12.062,-32.875
2024-01-03 23:59:10.761,-0.589783,-0.773042,76.733535,0.13,0.06,9.73,3.938,0.438,-0.312,2.5,12.062,-31.25
2024-01-03 23:59:10.775,-0.680691,-0.754957,72.497849,0.07,0.41,9.75,-1.312,-0.25,0.062,3.25,11.25,-31.75
2024-01-03 23:59:10.794,-0.667437,-0.7558,72.485264,0.13,0.07,9.65,-6.5,-1.062,0.375,3.25,11.25,-31.75
2024-01-03 23:59:10.824,-0.657716,-0.771219,75.498022,0.18,0.08,9.69,-0.625,0.0,0.125,2.875,12.375,-31.25
2024-01-03 23:59:10.915,-0.567782,-0.792708,73.530867,0.2,-0.19,9.54,-0.188,0.188,-0.25,3.562,13.188,-31.0
2024-01-03 23:59:10.957,-0.797473,-0.715419,70.071038,0.0,0.88,9.79,1.812,0.062,0.125,4.0,11.688,-32.188
2024-01-03 23:59:10.972,-0.56911,-0.753073,69.784975,0.0,0.1,9.64,1.438,0.062,-0.312,4.0,11.688,-32.188
2024-01-03 23:59:10.986,-1.267519,-0.492767,76.103784,-0.65,1.79,9.95,7.125,2.562,-0.375,2.875,12.0,-30.562
2024-01-03 23:59:11.032,-1.248856,-0.465147,78.366262,-0.01,0.15,9.61,0.0,-0.188,-0.438,2.5,12.688,-31.375
2024-01-03 23:59:11.056,-1.140303,-0.326669,73.815669,-0.4,-0.16,9.94,-0.75,-0.625,0.125,3.25,11.188,-31.375
2024-01-03 23:59:11.091,-1.129305,-0.169511,74.190873,-0.49,0.16,9.96,2.375,0.875,0.188,3.25,11.188,-31.375
2024-01-03 23:59:11.141,-0.855189,-0.19688,76.547515,0.12,-0.73,9.59,-2.438,-0.438,-0.062,2.875,12.0,-31.75
2024-01-03 23:59:11.231,-1.127474,-0.127362,74.75344,-0.2,1.06,9.6,-2.0,-0.438,0.125,3.25,11.562,-31.375
2024-01-03 23:59:11.269,-1.125128,-0.205719,74.568595,0.19,0.05,9.53,0.188,-0.25,-0.125,3.25,11.562,-31.75
